EmployeeID,EmployeeName,Gender,DepartmentID,Department,JobRole,Location,EmploymentType,HireDate,Salary,EmploymentStatus,ExitDate,ExitMode
954,Alyssa Haynes,Female,5,Finance,Financial Analyst,Abuja,full-time,2023-09-11,418500.0,Exited,2024-06-24,Termination
613,Brenda Morris,Female,6,Marketing ,Marketing Executive,Lagos,FULL-TIME,2022-01-04,504900.0,Active,,
970,Michael Anderson,Male,2,Operations,Operations Manager,lagos,Full-Time,2023-06-30,598500.0,Active,,
405,Lori Hernandez,Female,4,IT,Network Engineer,Lagos,Full-Time,04-16-2023,428500.0,Active,,
678,Joseph Howard,Male,2,OPERATIONS,Logistics Coordinator,Lagos,full-time,2022-09-20,479600.0,Active,,
986,Carolyn Bennett,Female,4,IT,Systems Analyst,Lagos,Full-Time,11-18-2022,631700.0,Exited,01-06-2025,Termination
591,Kevin Sanchez,Male,6,Marketing ,Digital Marketing Officer,Lagos,FULL-TIME,2023-01-19,415700.0,Active,,
673,Sean Cook,Male,4,IT,IT Support Officer,Kano,Full-Time,04-07-2024,703500.0,Active,,
825,Jacob Clements,Male,2,Operations,Warehouse Supervisor,,Full-Time ,2025-05-25,505700.0,Exited,2025-11-22,Resignation
50,Emily Carney,Female,3,Customer Service,Customer Support Lead,Abuja, Full-Time,2023-10-06,411200.0,Active,,
555,Rebecca Morgan,Female,6,Marketing,Digital Marketing Officer,LAGOS,Contract,2023-06-15,369500.0,Exited,2023-12-21,Resignation
143,Kelly Williams,Female,3,Customer Service,Call Center Agent,, Full-Time,2023-02-10,245900.0,Active,,
375,Jacob Griffith,Male,2,Operations,Operations Officer,ABUJA,Full-Time,2024-05-05,167600.0,Active,,
249,Peter Harris,,9,Legal,Legal Counsel, Abuja,Full-Time,2023-12-17,772400.0, Active,,
302,Steven Lucas,Male,1,sales,Business Development Officer,Lagos,Full-Time,2025-05-18,191400.0,Active,,
134,Kaylee Schultz,Female,8,Procurement,Procurement Officer,Port Harcourt,Full-Time,2024-03-31,173300.0,Active,,
105,Marc Moore,Male,1,sales,Business Development Officer,Lagos,full-time,2025-01-09,173000.0,Exited,2025-09-05,Resignation
7,Abigail Shaffer,Female,1,Sales,Sales Executive,Lagos,Full-Time,03/01/2025,333200.0,Exited,2025-09-13,Resignation
636,Arthur Mcknight,Male,8,Procurement,Procurement Officer,port harcourt,Full-Time,2025-01-13,375600.0,Active,,
714,Amanda Mcfarland,Female,4,IT,Network Engineer,Lagos,PART-TIME,2024-02-29,510400.0,Active,,
409,Billy Lin,,2,,Operations Manager,Lagos,Full-Time,2022-04-26,256000.0,Exited,2024-02-07,Termination
483,James Beltran,Male,2,Operations,Logistics Coordinator,Ibadan,Full-Time,2022-08-03,266000.0,Active,,
430,Heidi White,Female,8,Procurement ,Buyer,,Full-Time,2024-10-01,360500.0,Active,,
568,Lauren Jackson,Female,1, Sales,Sales Manager,Lagos,Full-Time,2025-04-26,218500.0,Active,,
346,Karen Morales,Female,2,Operations,Operations Officer,Lagos,Full-Time,11/07/2024,459600.0,Active,,
120,Kenneth Scott,Male,4,IT,Network Engineer,Lagos,Part-Time,2023-06-14,714500.0,Active,,
109,Sharon Cochran,Female,1, Sales,Account Manager,Lagos,Full-Time,2025-05-28,648100.0,Active,,
518,Penny Bowman,Female,10, Administration,Office Manager,Port Harcourt,Contract,2025-07-19,351700.0,Active,,
593,Jennifer Love,Female,5,Finance ,Payroll Officer,Abuja,Part-Time,2025-02-01,542700.0,Active,,
429,Matthew Henderson,Male,3,Customer Service,Customer Support Lead, Abuja,Full-Time,03/11/2025,394500.0,Active,,
914,Nicolas Stewart,Male,1,,Account Manager,Lagos,contract,2022-05-27,368300.0,Active,,
722,Patricia Friedman,Female,10,Administration,Admin Officer,Port Harcourt,Full-Time,2025-02-17,235000.0, Active,,
748,Mr. Michael Henry,Male,6,Marketing ,Digital Marketing Officer, Lagos,Full-Time,2025-04-08,530500.0,Active,,
242,Michael Hodge,Male,2,Operations,Logistics Coordinator,Lagos,Part-Time,2022-03-28,185400.0,Active,,
863,Taylor Anderson DVM,Female,2,Operations,Operations Manager,Lagos,Full-Time,2022-09-03,276800.0,Active,,
692,Theresa Barnett,Female,5,Finance,Accountant,Abuja,FULL-TIME,04/04/2022,243300.0,Active,,
79,David Wheeler,Male,3,customer service,Call Center Agent,Abuja,Part-Time,11/04/2024,201900.0,Active,,
933,Amanda Murray,Female,2,Operations,Logistics Coordinator,Lagos,Contract,2025-07-30,491200.0,Active,,
605,William Daniels,Male,3,Customer Service,Call Center Agent,Abuja,Full-Time,2023-11-11,311700.0,Active,,
803,Patrick Cannon,Male,3,,Call Center Agent,Abuja,Full-Time,2025-06-11,129100.0,Active,,
710,Brandon Rice,Male,4,IT,Systems Analyst,Lagos,Full-Time,2025-10-18,265700.0,Active,,
341,Kelly Reese,Female,9, Legal,Compliance Officer,Ibadan,Full-Time,17-Feb-2022,253600.0,EXITED,2024-07-01,Resignation
91,Ashley Rodriguez,Female,2, Operations,Warehouse Supervisor,Ibadan,Full-Time,2024-07-10,152500.0,Active,,
102,Robert Valencia,Male,5,Finance,Financial Analyst,Abuja,Full-Time,2022-10-05,724300.0,Active,,
95,Brandon Henderson,Male,4,,IT Support Officer,Lagos,Full-Time,2024-04-14,646200.0,Active,,
842,Karen Anderson,Female,2,operations,Operations Officer,,full-time,2024-02-27,163800.0,Active,,
784,Cody Nguyen,Male,3,Customer Service,Call Center Agent,Abuja,Part-Time,2025-01-05,280700.0,Active,,
42,Fred Smith,Male,2,Operations,Operations Manager,Lagos,Full-Time,2024-09-21,599500.0,Active,,
725,Teresa Reynolds,Female,1,Sales,Account Manager, Lagos,Full-Time,2023-04-02,235700.0,Active,2025-06-15,
473,Robin Thompson,Female,4,IT,IT Support Officer,Lagos,Full-Time,2023-08-20,633600.0,Active,,
503,Sydney Henry,Female,5,Finance,Payroll Officer,Abuja,Contract,2024-05-01,253200.0,Active,,
35,Debra Davidson,Female,1,Sales,Sales Manager,Lagos,Contract,15/03/2025,775700.0,Active,,
259,Desiree Tyler,Female,1,Sales,Sales Executive,LAGOS,Full-Time,05-Dec-2023,349100.0,Active,,
36,Jeffrey Chavez,Male,5,Finance,Payroll Officer,Abuja,PART-TIME,2023-01-25,0.0,Exited,2025-01-28,
149,Karen Green,Female,4,IT,Software Developer,LAGOS,contract,2022-12-25,251700.0,Active,,
460,Elizabeth Williams,Female,4,IT,Network Engineer,Lagos,Full-Time,2024-04-27,851700.0,Active,,
687,Roberto Levy,Male,2,Operations,Operations Manager,Lagos,Full-Time,2022-06-30,594400.0,Exited,2025-02-02,Resignation
